file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.7393283676398279
01_ROE_1,high,01,ROE,tot_persistence,0.7250564903509837
01_ROE_2,high,01,ROE,tot_persistence,0.7610869996881764
01_ROE_3,high,01,ROE,tot_persistence,0.7192252110058134
01_ROE_4,high,01,ROE,tot_persistence,0.7134725452056315
01_ROE_5,high,01,ROE,tot_persistence,0.7147357845792868
01_RCE_0,high,01,RCE,tot_persistence,0.6112779911280327
01_RCE_1,high,01,RCE,tot_persistence,0.6827849452724337
01_RCE_2,high,01,RCE,tot_persistence,0.6410385237803676
01_RCE_3,high,01,RCE,tot_persistence,0.6568839648192221
01_RCE_4,high,01,RCE,tot_persistence,0.6839979620571177
01_RCE_5,high,01,RCE,tot_persistence,0.6940873738809402
01_IND1_0,high,01,IND1,tot_persistence,0.6638344810072513
01_IND1_1,high,01,IND1,tot_persistence,0.6988670194842012
01_IND1_2,high,01,IND1,tot_persistence,0.6995060853663327
01_IND1_3,high,01,IND1,tot_persistence,0.6860088311054826
01_IND1_4,high,01,IND1,tot_persistence,0.6904493858386277
01_IND1_5,high,01,IND1,tot_persistence,0.662885913169178
01_IND2_0,high,01,IND2,tot_persistence,0.6645844056838729
01_IND2_1,high,01,IND2,tot_persistence,0.7281340511765664
01_IND2_2,high,01,IND2,tot_persistence,0.6707070695883526
01_IND2_3,high,01,IND2,tot_persistence,0.6840427245380329
01_IND2_4,high,01,IND2,tot_persistence,0.6699366330580945
01_IND2_5,high,01,IND2,tot_persistence,0.6332510757692796
01_NH_0,high,01,NH,tot_persistence,0.6577825351732477
01_NH_1,high,01,NH,tot_persistence,0.664241274646276
01_NH_2,high,01,NH,tot_persistence,0.6497626947793091
01_NH_3,high,01,NH,tot_persistence,0.6472995431898928
01_NH_4,high,01,NH,tot_persistence,0.7092001149203494
01_NH_5,high,01,NH,tot_persistence,0.6913826312085781
01_POST_0,high,01,POST,tot_persistence,0.6611351246529764
01_POST_1,high,01,POST,tot_persistence,0.641754021835211
01_POST_2,high,01,POST,tot_persistence,0.6212812657137574
01_POST_3,high,01,POST,tot_persistence,0.6297157739343493
01_POST_4,high,01,POST,tot_persistence,0.6469633175559774
01_POST_5,high,01,POST,tot_persistence,0.6479894013798118
02_ROE_0,high,02,ROE,tot_persistence,0.8352398052406091
02_ROE_1,high,02,ROE,tot_persistence,0.9028353230502968
02_ROE_2,high,02,ROE,tot_persistence,0.7880704452826505
02_ROE_3,high,02,ROE,tot_persistence,0.7427571209615688
02_ROE_4,high,02,ROE,tot_persistence,0.6313945243282051
02_ROE_5,high,02,ROE,tot_persistence,0.725814697730615
02_RCE_0,high,02,RCE,tot_persistence,0.7684378035093328
02_RCE_1,high,02,RCE,tot_persistence,0.7881744360368159
02_RCE_2,high,02,RCE,tot_persistence,0.7711851581573407
02_RCE_3,high,02,RCE,tot_persistence,0.8110110771665375
02_RCE_4,high,02,RCE,tot_persistence,0.7922409150926643
02_RCE_5,high,02,RCE,tot_persistence,0.7611719971465715
02_IND1_0,high,02,IND1,tot_persistence,0.8437682225714903
02_IND1_1,high,02,IND1,tot_persistence,0.7910032969971653
02_IND1_2,high,02,IND1,tot_persistence,0.7293028853364547
02_IND1_3,high,02,IND1,tot_persistence,0.7563626011261131
02_IND1_4,high,02,IND1,tot_persistence,0.7920863876063264
02_IND1_5,high,02,IND1,tot_persistence,0.7943505460053372
02_IND2_0,high,02,IND2,tot_persistence,0.8086649183465823
02_IND2_1,high,02,IND2,tot_persistence,0.7799777868348394
02_IND2_2,high,02,IND2,tot_persistence,0.7851097633082595
02_IND2_3,high,02,IND2,tot_persistence,0.7656785286503246
02_IND2_4,high,02,IND2,tot_persistence,0.7721535891567896
02_IND2_5,high,02,IND2,tot_persistence,0.7600827973260199
02_NH_0,high,02,NH,tot_persistence,0.7395536730365743
02_NH_1,high,02,NH,tot_persistence,0.7530756592843203
02_NH_2,high,02,NH,tot_persistence,0.7675057635978912
02_NH_3,high,02,NH,tot_persistence,0.7857184047923462
02_NH_4,high,02,NH,tot_persistence,0.7617963044005159
02_NH_5,high,02,NH,tot_persistence,0.8598886732815352
02_POST_0,high,02,POST,tot_persistence,0.7878234068399497
02_POST_1,high,02,POST,tot_persistence,0.7743077228302756
02_POST_2,high,02,POST,tot_persistence,0.7866376348680777
02_POST_3,high,02,POST,tot_persistence,0.7988853766028781
02_POST_4,high,02,POST,tot_persistence,0.7502811564620931
02_POST_5,high,02,POST,tot_persistence,0.7248747133362594
03_ROE_0,high,03,ROE,tot_persistence,0.776487065234554
03_ROE_1,high,03,ROE,tot_persistence,0.8654091271366577
03_ROE_2,high,03,ROE,tot_persistence,0.7443037158359602
03_ROE_3,high,03,ROE,tot_persistence,0.6979106755386942
03_ROE_4,high,03,ROE,tot_persistence,0.8315919474259992
03_ROE_5,high,03,ROE,tot_persistence,0.859029135335254
03_RCE_0,high,03,RCE,tot_persistence,0.8139331576955562
03_RCE_1,high,03,RCE,tot_persistence,0.8306103188166287
03_RCE_2,high,03,RCE,tot_persistence,0.7275821225803291
03_RCE_3,high,03,RCE,tot_persistence,0.8743362694380095
03_RCE_4,high,03,RCE,tot_persistence,0.7640270511776458
03_RCE_5,high,03,RCE,tot_persistence,0.8477168810116764
03_IND1_0,high,03,IND1,tot_persistence,0.8218193928101609
03_IND1_1,high,03,IND1,tot_persistence,0.8097495522375612
03_IND1_2,high,03,IND1,tot_persistence,0.8014312714973135
03_IND1_3,high,03,IND1,tot_persistence,0.7779191990618487
03_IND1_4,high,03,IND1,tot_persistence,0.7799661915683318
03_IND1_5,high,03,IND1,tot_persistence,0.8025593971934102
03_IND2_0,high,03,IND2,tot_persistence,0.82160645116188
03_IND2_1,high,03,IND2,tot_persistence,0.7980514982538185
03_IND2_2,high,03,IND2,tot_persistence,0.871823654284284
03_IND2_3,high,03,IND2,tot_persistence,0.8399669828029486
03_IND2_4,high,03,IND2,tot_persistence,0.7962098187708632
03_IND2_5,high,03,IND2,tot_persistence,0.776627812479522
03_NH_0,high,03,NH,tot_persistence,0.7678347481756339
03_NH_1,high,03,NH,tot_persistence,0.7711395007730051
03_NH_2,high,03,NH,tot_persistence,0.8003764423478255
03_NH_3,high,03,NH,tot_persistence,0.7739024321296022
03_NH_4,high,03,NH,tot_persistence,0.7994514235079289
03_NH_5,high,03,NH,tot_persistence,0.7631292177416743
03_POST_0,high,03,POST,tot_persistence,0.7731044697055393
03_POST_1,high,03,POST,tot_persistence,0.7629809305330041
03_POST_2,high,03,POST,tot_persistence,0.8547010923706667
03_POST_3,high,03,POST,tot_persistence,0.8392455594370999
03_POST_4,high,03,POST,tot_persistence,0.7833190862133235
03_POST_5,high,03,POST,tot_persistence,0.8761236196240116
04_ROE_0,high,04,ROE,tot_persistence,0.8250384760517695
04_ROE_1,high,04,ROE,tot_persistence,0.7781287152481092
04_ROE_2,high,04,ROE,tot_persistence,0.8132595701300103
04_ROE_3,high,04,ROE,tot_persistence,0.7512159879511374
04_ROE_4,high,04,ROE,tot_persistence,0.7842431530615559
04_ROE_5,high,04,ROE,tot_persistence,0.7537135008623594
04_RCE_0,high,04,RCE,tot_persistence,0.6246410647298863
04_RCE_1,high,04,RCE,tot_persistence,0.7032317483555707
04_RCE_2,high,04,RCE,tot_persistence,0.6589348499150266
04_RCE_3,high,04,RCE,tot_persistence,0.643695530554673
04_RCE_4,high,04,RCE,tot_persistence,0.7637304123850559
04_RCE_5,high,04,RCE,tot_persistence,0.7083867089773703
04_IND1_0,high,04,IND1,tot_persistence,0.7124155176886247
04_IND1_1,high,04,IND1,tot_persistence,0.673273950657961
04_IND1_2,high,04,IND1,tot_persistence,0.7030065450138798
04_IND1_3,high,04,IND1,tot_persistence,0.6758579332574621
04_IND1_4,high,04,IND1,tot_persistence,0.65181652096926
04_IND1_5,high,04,IND1,tot_persistence,0.645756982044904
04_IND2_0,high,04,IND2,tot_persistence,0.7034217029392603
04_IND2_1,high,04,IND2,tot_persistence,0.7179261748667839
04_IND2_2,high,04,IND2,tot_persistence,0.6526376139680445
04_IND2_3,high,04,IND2,tot_persistence,0.711034009138293
04_IND2_4,high,04,IND2,tot_persistence,0.6907667537376684
04_IND2_5,high,04,IND2,tot_persistence,0.7109227738002623
04_NH_0,high,04,NH,tot_persistence,0.7678069189684618
04_NH_1,high,04,NH,tot_persistence,0.7487458175846321
04_NH_2,high,04,NH,tot_persistence,0.7476836923330133
04_NH_3,high,04,NH,tot_persistence,0.7713159628904661
04_NH_4,high,04,NH,tot_persistence,0.7498848299672591
04_NH_5,high,04,NH,tot_persistence,0.7804447816438052
