file,group,subject,condition,variable,value
01_ROE_0,high,01,ROE,tot_persistence,0.25408091237193614
01_ROE_1,high,01,ROE,tot_persistence,0.2867891492046491
01_ROE_2,high,01,ROE,tot_persistence,0.30700469157285
01_ROE_3,high,01,ROE,tot_persistence,0.25979166080722715
01_ROE_4,high,01,ROE,tot_persistence,0.2546312705578618
01_ROE_5,high,01,ROE,tot_persistence,0.2655648440760602
01_ROE_6,high,01,ROE,tot_persistence,0.24823804227772225
01_ROE_7,high,01,ROE,tot_persistence,0.2365401251867799
01_ROE_8,high,01,ROE,tot_persistence,0.26531438827259496
01_ROE_9,high,01,ROE,tot_persistence,0.27802282953870283
01_ROE_10,high,01,ROE,tot_persistence,0.24599880065240984
01_ROE_11,high,01,ROE,tot_persistence,0.2565119588315663
01_ROE_12,high,01,ROE,tot_persistence,0.25604887231926793
01_ROE_13,high,01,ROE,tot_persistence,0.2645736633526739
01_ROE_14,high,01,ROE,tot_persistence,0.2294055924998069
01_ROE_15,high,01,ROE,tot_persistence,0.2635245912034173
01_ROE_16,high,01,ROE,tot_persistence,0.23498163809317488
01_ROE_17,high,01,ROE,tot_persistence,0.23084722786208564
01_RCE_0,high,01,RCE,tot_persistence,0.23433615422048099
01_RCE_1,high,01,RCE,tot_persistence,0.20945834670032729
01_RCE_2,high,01,RCE,tot_persistence,0.34564729865642874
01_RCE_3,high,01,RCE,tot_persistence,0.40972311888297835
01_RCE_4,high,01,RCE,tot_persistence,0.4019662496635817
01_RCE_5,high,01,RCE,tot_persistence,0.33078080204945043
01_RCE_6,high,01,RCE,tot_persistence,0.36278245180449736
01_RCE_7,high,01,RCE,tot_persistence,0.3962276467446531
01_RCE_8,high,01,RCE,tot_persistence,0.39551519228468845
01_RCE_9,high,01,RCE,tot_persistence,0.4054928889180452
01_RCE_10,high,01,RCE,tot_persistence,0.3962664688138717
01_RCE_11,high,01,RCE,tot_persistence,0.40080442251912723
01_RCE_12,high,01,RCE,tot_persistence,0.41687585063401417
01_RCE_13,high,01,RCE,tot_persistence,0.36800789678425
01_RCE_14,high,01,RCE,tot_persistence,0.4094582061365877
01_RCE_15,high,01,RCE,tot_persistence,0.390404921200244
01_RCE_16,high,01,RCE,tot_persistence,0.3912114243304213
01_RCE_17,high,01,RCE,tot_persistence,0.3952008285575616
01_IND1_0,high,01,IND1,tot_persistence,0.3626518254714731
01_IND1_1,high,01,IND1,tot_persistence,0.42210494197196236
01_IND1_2,high,01,IND1,tot_persistence,0.40448186299385086
01_IND1_3,high,01,IND1,tot_persistence,0.4042658540542069
01_IND1_4,high,01,IND1,tot_persistence,0.37705947137740614
01_IND1_5,high,01,IND1,tot_persistence,0.3697879361758484
01_IND1_6,high,01,IND1,tot_persistence,0.37108181321727246
01_IND1_7,high,01,IND1,tot_persistence,0.3516361713980204
01_IND1_8,high,01,IND1,tot_persistence,0.3794608654523997
01_IND1_9,high,01,IND1,tot_persistence,0.390929851274575
01_IND1_10,high,01,IND1,tot_persistence,0.39444102834832656
01_IND1_11,high,01,IND1,tot_persistence,0.4009267670092138
01_IND1_12,high,01,IND1,tot_persistence,0.3893692719418288
01_IND1_13,high,01,IND1,tot_persistence,0.37289131228572286
01_IND1_14,high,01,IND1,tot_persistence,0.3922211189576027
01_IND1_15,high,01,IND1,tot_persistence,0.33596024320724577
01_IND1_16,high,01,IND1,tot_persistence,0.3663384043161134
01_IND1_17,high,01,IND1,tot_persistence,0.40185262971227653
01_IND2_0,high,01,IND2,tot_persistence,0.374389325758546
01_IND2_1,high,01,IND2,tot_persistence,0.34464169047013166
01_IND2_2,high,01,IND2,tot_persistence,0.3601380443801625
01_IND2_3,high,01,IND2,tot_persistence,0.30626100355187097
01_IND2_4,high,01,IND2,tot_persistence,0.38751935460931475
01_IND2_5,high,01,IND2,tot_persistence,0.38346189058240515
01_IND2_6,high,01,IND2,tot_persistence,0.307243132056295
01_IND2_7,high,01,IND2,tot_persistence,0.37745343384160857
01_IND2_8,high,01,IND2,tot_persistence,0.3543806516362455
01_IND2_9,high,01,IND2,tot_persistence,0.39106747341082976
01_IND2_10,high,01,IND2,tot_persistence,0.3680578583438254
01_IND2_11,high,01,IND2,tot_persistence,0.3927537277643556
01_IND2_12,high,01,IND2,tot_persistence,0.3553470767356844
01_IND2_13,high,01,IND2,tot_persistence,0.3991275758858662
01_IND2_14,high,01,IND2,tot_persistence,0.3489196339929787
01_IND2_15,high,01,IND2,tot_persistence,0.3664454219411215
01_IND2_16,high,01,IND2,tot_persistence,0.36816708154001115
01_IND2_17,high,01,IND2,tot_persistence,0.34016879726251825
01_NH_0,high,01,NH,tot_persistence,0.3636529237510326
01_NH_1,high,01,NH,tot_persistence,0.35389608769561687
01_NH_2,high,01,NH,tot_persistence,0.33361497902985976
01_NH_3,high,01,NH,tot_persistence,0.37956548332764145
01_NH_4,high,01,NH,tot_persistence,0.3564487597348524
01_NH_5,high,01,NH,tot_persistence,0.37226147118932523
01_NH_6,high,01,NH,tot_persistence,0.403867583376985
01_NH_7,high,01,NH,tot_persistence,0.3668599041027971
01_NH_8,high,01,NH,tot_persistence,0.39032682210859787
01_NH_9,high,01,NH,tot_persistence,0.37878580239978277
01_NH_10,high,01,NH,tot_persistence,0.31078363249261154
01_NH_11,high,01,NH,tot_persistence,0.3688205077463998
01_NH_12,high,01,NH,tot_persistence,0.33155098458706445
01_NH_13,high,01,NH,tot_persistence,0.36148474843669726
01_NH_14,high,01,NH,tot_persistence,0.3429965150987264
01_NH_15,high,01,NH,tot_persistence,0.36363926274748226
01_NH_16,high,01,NH,tot_persistence,0.34208869950574755
01_NH_17,high,01,NH,tot_persistence,0.39007556815512306
01_POST_0,high,01,POST,tot_persistence,0.35984607522003353
01_POST_1,high,01,POST,tot_persistence,0.2742326031374977
01_POST_2,high,01,POST,tot_persistence,0.34393594648539133
01_POST_3,high,01,POST,tot_persistence,0.2706122650858982
01_POST_4,high,01,POST,tot_persistence,0.31829007064403714
01_POST_5,high,01,POST,tot_persistence,0.31589460974500444
01_POST_6,high,01,POST,tot_persistence,0.2999751321636757
01_POST_7,high,01,POST,tot_persistence,0.3097156754684274
01_POST_8,high,01,POST,tot_persistence,0.25185041631269894
01_POST_9,high,01,POST,tot_persistence,0.27733899832245795
01_POST_10,high,01,POST,tot_persistence,0.30269448910060126
01_POST_11,high,01,POST,tot_persistence,0.31427587686573105
01_POST_12,high,01,POST,tot_persistence,0.3235917033741541
01_POST_13,high,01,POST,tot_persistence,0.3003246274371481
01_POST_14,high,01,POST,tot_persistence,0.2893862328653112
01_POST_15,high,01,POST,tot_persistence,0.3480783366097231
01_POST_16,high,01,POST,tot_persistence,0.30741251577054485
01_POST_17,high,01,POST,tot_persistence,0.29379883740286244
02_ROE_0,high,02,ROE,tot_persistence,0.33205450510644907
02_ROE_1,high,02,ROE,tot_persistence,0.25921105920721943
02_ROE_2,high,02,ROE,tot_persistence,0.24771305679137848
02_ROE_3,high,02,ROE,tot_persistence,0.2517166284284893
02_ROE_4,high,02,ROE,tot_persistence,0.25054180660741177
02_ROE_5,high,02,ROE,tot_persistence,0.2512562726393651
02_ROE_6,high,02,ROE,tot_persistence,0.2824694816991622
02_ROE_7,high,02,ROE,tot_persistence,0.2847026532184737
02_ROE_8,high,02,ROE,tot_persistence,0.288018797181713
02_ROE_9,high,02,ROE,tot_persistence,0.25876138551241795
02_ROE_10,high,02,ROE,tot_persistence,0.26000441514504563
02_ROE_11,high,02,ROE,tot_persistence,0.2699608410111659
02_ROE_12,high,02,ROE,tot_persistence,0.21758461943779256
02_ROE_13,high,02,ROE,tot_persistence,0.22743882832886364
02_ROE_14,high,02,ROE,tot_persistence,0.22813715730190678
02_ROE_15,high,02,ROE,tot_persistence,0.2436711384411806
02_ROE_16,high,02,ROE,tot_persistence,0.19014766033867533
02_ROE_17,high,02,ROE,tot_persistence,0.21122683524670052
02_RCE_0,high,02,RCE,tot_persistence,0.2196639492016826
02_RCE_1,high,02,RCE,tot_persistence,0.25059626790271533
02_RCE_2,high,02,RCE,tot_persistence,0.20909042555628873
02_RCE_3,high,02,RCE,tot_persistence,0.2211450489758246
02_RCE_4,high,02,RCE,tot_persistence,0.27207486926098573
02_RCE_5,high,02,RCE,tot_persistence,0.20315482172026658
02_RCE_6,high,02,RCE,tot_persistence,0.23113223245560413
02_RCE_7,high,02,RCE,tot_persistence,0.1947380957198096
02_RCE_8,high,02,RCE,tot_persistence,0.25772863707723653
02_RCE_9,high,02,RCE,tot_persistence,0.21949689286433166
02_RCE_10,high,02,RCE,tot_persistence,0.26637079699427246
02_RCE_11,high,02,RCE,tot_persistence,0.1823457570107857
02_RCE_12,high,02,RCE,tot_persistence,0.2424996386530617
02_RCE_13,high,02,RCE,tot_persistence,0.2468029240740963
02_RCE_14,high,02,RCE,tot_persistence,0.22229224252996677
02_RCE_15,high,02,RCE,tot_persistence,0.22507193893526434
02_RCE_16,high,02,RCE,tot_persistence,0.21652420337088207
02_RCE_17,high,02,RCE,tot_persistence,0.18367745843697944
02_IND1_0,high,02,IND1,tot_persistence,0.1831759573576487
02_IND1_1,high,02,IND1,tot_persistence,0.20442241810810838
02_IND1_2,high,02,IND1,tot_persistence,0.21422619628057468
02_IND1_3,high,02,IND1,tot_persistence,0.24499180672226167
02_IND1_4,high,02,IND1,tot_persistence,0.23465194521714708
02_IND1_5,high,02,IND1,tot_persistence,0.2556290561198482
02_IND1_6,high,02,IND1,tot_persistence,0.23555886743023763
02_IND1_7,high,02,IND1,tot_persistence,0.27943097215754154
02_IND1_8,high,02,IND1,tot_persistence,0.2509610803479363
02_IND1_9,high,02,IND1,tot_persistence,0.26285941570565313
02_IND1_10,high,02,IND1,tot_persistence,0.28306654753695853
02_IND1_11,high,02,IND1,tot_persistence,0.280137150019913
02_IND1_12,high,02,IND1,tot_persistence,0.2595587487009507
02_IND1_13,high,02,IND1,tot_persistence,0.2306117709390921
02_IND1_14,high,02,IND1,tot_persistence,0.2321865491292628
02_IND1_15,high,02,IND1,tot_persistence,0.3216319428986274
02_IND1_16,high,02,IND1,tot_persistence,0.2627511503162943
02_IND1_17,high,02,IND1,tot_persistence,0.2579482105080972
02_IND2_0,high,02,IND2,tot_persistence,0.22968796292880253
02_IND2_1,high,02,IND2,tot_persistence,0.26999456928353566
02_IND2_2,high,02,IND2,tot_persistence,0.2552439435717105
02_IND2_3,high,02,IND2,tot_persistence,0.3136929963908492
02_IND2_4,high,02,IND2,tot_persistence,0.27448191363561397
02_IND2_5,high,02,IND2,tot_persistence,0.2589121568435646
02_IND2_6,high,02,IND2,tot_persistence,0.2500604139775232
02_IND2_7,high,02,IND2,tot_persistence,0.26969987355034764
02_IND2_8,high,02,IND2,tot_persistence,0.24130271519557614
02_IND2_9,high,02,IND2,tot_persistence,0.2684263382558508
02_IND2_10,high,02,IND2,tot_persistence,0.2311898252557377
02_IND2_11,high,02,IND2,tot_persistence,0.26321790922489974
02_IND2_12,high,02,IND2,tot_persistence,0.25119748741919873
02_IND2_13,high,02,IND2,tot_persistence,0.21695211289229485
02_IND2_14,high,02,IND2,tot_persistence,0.2469260953701421
02_IND2_15,high,02,IND2,tot_persistence,0.24840421002942678
02_IND2_16,high,02,IND2,tot_persistence,0.25482495278638717
02_IND2_17,high,02,IND2,tot_persistence,0.19443288546615234
02_NH_0,high,02,NH,tot_persistence,0.22997127714189974
02_NH_1,high,02,NH,tot_persistence,0.32088031429064107
02_NH_2,high,02,NH,tot_persistence,0.27073501169314856
02_NH_3,high,02,NH,tot_persistence,0.3032226850002245
02_NH_4,high,02,NH,tot_persistence,0.2997349417905812
02_NH_5,high,02,NH,tot_persistence,0.27343364952256355
02_NH_6,high,02,NH,tot_persistence,0.223846730135828
02_NH_7,high,02,NH,tot_persistence,0.326203890858674
02_NH_8,high,02,NH,tot_persistence,0.2410002858652175
02_NH_9,high,02,NH,tot_persistence,0.2545131552565712
02_NH_10,high,02,NH,tot_persistence,0.27996423016095495
02_NH_11,high,02,NH,tot_persistence,0.2836752502130994
02_NH_12,high,02,NH,tot_persistence,0.3646538412726874
02_NH_13,high,02,NH,tot_persistence,0.2942345576352807
02_NH_14,high,02,NH,tot_persistence,0.35053126875998314
02_NH_15,high,02,NH,tot_persistence,0.25852147956945154
02_NH_16,high,02,NH,tot_persistence,0.30067589043534537
02_NH_17,high,02,NH,tot_persistence,0.24305849871667845
02_POST_0,high,02,POST,tot_persistence,0.23590181912983277
02_POST_1,high,02,POST,tot_persistence,0.2617520019203142
